
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|WBEI        |101.7 MHz |FM |269 |ND  |-                   |C2 |-  |LIC    |REFORM                   |AL |US |BLH    -20020308AAT |22.5   kW |22.5   kW |221.0   |221.0   |67577      |N |33 |13 |48.00 |W |87  |50 |50.00 |TOWNSQUARE MEDIA TUSCALOOSA LICENSE, LLC                                    |   0.00 km |   0.00 mi |  0.00 deg |309.   m|309.0  m|-         |-       |1036762 |207.   m|597108    |
|WMXN-FM     |101.7 MHz |FM |269 |ND  |-                   |A  |-  |LIC    |STEVENSON                |AL |US |BLH    -20050408ACH |2.3    kW |2.3    kW |165.0   |165.0   |33780      |N |34 |41 |2.00  |W |85  |48 |4.00  |KEA RADIO, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |563.   m|563.0  m|-         |-       |1240788 |119.   m|1057135   |
|WHHY-FM     |101.9 MHz |FM |270 |ND  |-                   |C0 |-  |LIC    |MONTGOMERY               |AL |US |BMLH   -20070402ADP |100.   kW |100.   kW |334.0   |334.0   |66910      |N |32 |24 |13.00 |W |86  |11 |47.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |397.   m|397.0  m|-         |-       |1042484 |342.   m|1174980   |
|WQUA        |102.1 MHz |FM |271 |ND  |-                   |C3 |-  |LIC    |CITRONELLE               |AL |US |BMLED  -20051021AFV |15.    kW |15.    kW |130.0   |130.0   |39293      |N |31 |5  |4.00  |W |88  |23 |51.00 |FAMILY WORSHIP CENTER CHURCH, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |189.   m|189.0  m|-         |-       |1025130 |128.   m|1093509   |
|WDRM        |102.1 MHz |FM |271 |ND  |-                   |C1 |-  |LIC    |DECATUR                  |AL |US |BMLH   -20060413ACH |100.   kW |100.   kW |299.0   |299.0   |44024      |N |34 |47 |36.00 |W |86  |37 |51.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |532.   m|532.0  m|-         |-       |1057232 |172.   m|1125755   |
|WYVC        |102.3 MHz |FM |272 |ND  |-                   |A  |-  |LIC    |CAMDEN                   |AL |US |BLH    -19901120KC  |6.     kW |6.     kW |96.0    |96.0    |17481      |N |31 |57 |17.00 |W |87  |15 |51.00 |DOWN HOME BROADCASTING                                                      |   0.00 km |   0.00 mi |  0.00 deg |165.   m|165.0  m|-         |-       |-       |41.    m|154467    |
|WELR-FM     |102.3 MHz |FM |272 |ND  |-                   |C3 |-  |LIC    |ROANOKE                  |AL |US |BLH    -19921118KC  |8.9    kW |8.9    kW |166.0   |166.0   |18135      |N |33 |2  |39.00 |W |85  |20 |15.00 |EAGLE'S NEST, INC.                                                          |   0.00 km |   0.00 mi |  0.00 deg |390.   m|390.0  m|-         |-       |1053971 |129.   m|178853    |
|WAMI-FM     |102.3 MHz |FM |272 |ND  |-                   |A  |-  |LIC    |OPP                      |AL |US |BLH    -20130301AGC |3.4    kW |3.4    kW |88.9    |88.9    |66211      |N |31 |18 |30.00 |W |86  |15 |25.00 |THE OPP BROADCASTING CO., INC.                                              |   0.00 km |   0.00 mi |  0.00 deg |170.3  m|170.3  m|-         |-       |1037281 |74.    m|1543049   |
|WESP        |102.5 MHz |FM |273 |ND  |-                   |C3 |-  |LIC    |DOTHAN                   |AL |US |BLH    -20020522AAB |16.5   kW |16.5   kW |123.0   |123.0   |6891       |N |31 |15 |48.00 |W |85  |18 |24.00 |ALABAMA MEDIA, LLC                                                          |   0.00 km |   0.00 mi |  0.00 deg |205.   m|205.0  m|-         |-       |1020297 |124.   m|603110    |
|WDXB        |102.5 MHz |FM |273 |ND  |-                   |C1 |-  |LIC    |PELHAM                   |AL |US |BLH    -20080613AAJ |90.    kW |90.    kW |313.0   |313.0   |2114       |N |33 |26 |38.00 |W |86  |52 |47.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |494.   m|494.0  m|-         |-       |1050337 |206.   m|1250130   |
|WCKS        |102.7 MHz |FM |274 |DA  |-                   |A  |-  |LIC    |FRUITHURST               |AL |US |BLH    -19940422KA  |1.65   kW |1.65   kW |192.0   |192.0   |63409      |N |33 |37 |24.00 |W |85  |20 |14.00 |WCKS, LLC                                                                   |   0.00 km |   0.00 mi |  0.00 deg |509.   m|509.0  m|14454     |0.      |-       |58.    m|198585    |
|WWFA        |102.7 MHz |FM |274 |ND  |-                   |C3 |-  |LIC    |ST. FLORIAN              |AL |US |BLH    -20100824AAJ |10.    kW |10.    kW |141.0   |141.0   |171029     |N |34 |45 |28.00 |W |87  |30 |6.00  |FLINN JR, GEORGE S                                                          |   0.00 km |   0.00 mi |  0.00 deg |312.   m|312.0  m|-         |-       |1259903 |122.   m|1396456   |
|WCKS        |102.7 MHz |FM |274 |DA  |-                   |A  |-  |APP    |FRUITHURST               |AL |US |BPH    -20130308AEB |1.5    kW |1.5    kW |200.0   |200.0   |63409      |N |33 |39 |3.00  |W |85  |17 |41.00 |WCKS, LLC                                                                   |   0.00 km |   0.00 mi |  0.00 deg |538.   m|538.0  m|112014    |0.      |1260119 |88.    m|1521817   |
|WKXX        |102.9 MHz |FM |275 |ND  |-                   |A  |-  |LIC    |ATTALLA                  |AL |US |BLH    -19910909KD  |1.1    kW |1.1    kW |214.0   |214.0   |957        |N |33 |58 |28.00 |W |86  |12 |24.00 |BROADCAST MEDIA LLC                                                         |   0.00 km |   0.00 mi |  0.00 deg |456.   m|456.0  m|-         |-       |-       |35.    m|164540    |
|WNPT-FM     |102.9 MHz |FM |275 |DA  |-                   |C2 |-  |LIC    |MARION                   |AL |US |BLH    -20090929AAS |24.    kW |24.    kW |202.0   |202.0   |37721      |N |32 |49 |46.00 |W |87  |25 |46.00 |JOHN SISTY ENTERPRISES, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |299.   m|299.0  m|90628     |0.      |1266121 |174.   m|1335644   |
|WEUP-FM     |103.1 MHz |FM |276 |ND  |-                   |C3 |-  |LIC    |MOULTON                  |AL |US |BLH    -20000502AAP |11.5   kW |11.5   kW |150.0   |150.0   |36740      |N |34 |27 |8.00  |W |87  |6  |20.00 |HUNDLEY BATTS, SR. & VIRGINIA CAPLES                                        |   0.00 km |   0.00 mi |  0.00 deg |347.   m|347.0  m|-         |-       |1200184 |135.   m|497457    |
|WMXS        |103.3 MHz |FM |277 |ND  |-                   |C  |-  |LIC    |MONTGOMERY               |AL |US |BMLH   -20070402ACJ |100.   kW |100.   kW |334.0   |334.0   |12322      |N |32 |24 |13.00 |W |86  |11 |47.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |397.   m|397.0  m|-         |-       |1042484 |342.   m|1174983   |
|WLAY-FM     |103.5 MHz |FM |278 |ND  |-                   |A  |-  |LIC    |LITTLEVILLE              |AL |US |BLH    -20060908AAI |3.3    kW |3.3    kW |117.7   |117.7   |14928      |N |34 |40 |27.00 |W |87  |42 |48.00 |URBAN RADIO LICENSES, LLC                                                   |   0.00 km |   0.00 mi |  0.00 deg |297.   m|297.0  m|-         |-       |-       |39.    m|1116056   |
|WHWT        |103.5 MHz |FM |278 |DA  |-                   |A  |-  |LIC    |NEW HOPE                 |AL |US |BLH    -20071101AAC |0.29   kW |0.29   kW |449.0   |449.0   |170944     |N |34 |38 |11.00 |W |86  |30 |42.00 |STROH COMM, LLC                                                             |   0.00 km |   0.00 mi |  0.00 deg |674.   m|674.0  m|84328     |0.      |1035654 |229.   m|1228588   |
|NEW         |103.5 MHz |FM |278 |ND  |-                   |A  |-  |CP     |FRISCO CITY              |AL |US |BNPH   -20130627AAE |5.     kW |5.     kW |88.0    |88.0    |191570     |N |31 |25 |28.00 |W |87  |25 |22.00 |COLLINS, DAMON L                                                            |   0.00 km |   0.00 mi |  0.00 deg |189.7  m|189.7  m|-         |-       |1226809 |66.    m|1560755   |
|WAAO-FM     |103.7 MHz |FM |279 |ND  |-                   |A  |-  |LIC    |ANDALUSIA                |AL |US |BMLH   -19900212KF  |3.     kW |3.     kW |100.0   |100.0   |13502      |N |31 |20 |27.00 |W |86  |28 |2.00  |THREE NOTCH COMMUNICATIONS, LLC                                             |   0.00 km |   0.00 mi |  0.00 deg |186.   m|186.0  m|-         |-       |-       |91.    m|145053    |
|WQEN        |103.7 MHz |FM |279 |ND  |-                   |C1 |-  |LIC    |TRUSSVILLE               |AL |US |BLH    -20050715ABB |100.   kW |100.   kW |285.0   |285.0   |22997      |N |33 |26 |38.00 |W |86  |52 |47.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |466.   m|466.0  m|-         |-       |1050337 |178.   m|1073083   |
|WTID        |103.9 MHz |FM |280 |ND  |-                   |A  |-  |LIC    |THOMASTON                |AL |US |BLH    -20090317ACL |0.5    kW |0.5    kW |14.0    |14.0    |85767      |N |32 |16 |49.00 |W |87  |38 |6.00  |GREAT SOUTH WIRELESS, LLC                                                   |   0.00 km |   0.00 mi |  0.00 deg |74.    m|74.0   m|-         |-       |-       |10.    m|1301700   |
|WLDA        |103.9 MHz |FM |280 |ND  |-                   |C3 |-  |LIC    |FORT RUCKER              |AL |US |BLH    -20090414AEA |25.    kW |25.    kW |89.0    |89.0    |63945      |N |31 |26 |25.00 |W |85  |33 |49.00 |SOUTHEAST ALABAMA BROADCASTERS, LLC                                         |   0.00 km |   0.00 mi |  0.00 deg |179.   m|179.0  m|-         |-       |1037907 |77.    m|1307899   |
|WLDA        |103.9 MHz |FM |280 |ND  |-                   |C2 |-  |APP    |FORT RUCKER              |AL |US |BPH    -20121119ANF |24.5   kW |24.5   kW |216.2   |216.2   |63945      |N |31 |17 |28.00 |W |85  |34 |20.00 |SOUTHEAST ALABAMA BROADCASTERS, LLC                                         |   0.00 km |   0.00 mi |  0.00 deg |298.9  m|298.9  m|-         |-       |-       |185.5  m|1554692   |
|WLDA        |103.9 MHz |FM |280 |ND  |-                   |C2 |-  |APP    |FORT RUCKER              |AL |US |BPH    -20121119ANF |25.    kW |25.    kW |213.7   |213.7   |63945      |N |31 |18 |2.00  |W |85  |35 |5.00  |SOUTHEAST ALABAMA BROADCASTERS, LLC                                         |   0.00 km |   0.00 mi |  0.00 deg |293.3  m|293.3  m|-         |-       |-       |183.   m|1616210   |
|WDLT-FM     |104.1 MHz |FM |281 |ND  |-                   |C  |-  |LIC    |SARALAND                 |AL |US |BLH    -20120507ABD |100.   kW |100.   kW |508.0   |508.0   |8680       |N |30 |36 |45.00 |W |87  |38 |42.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |550.   m|550.0  m|-         |-       |1212516 |509.   m|1498918   |
|WHLW        |104.3 MHz |FM |282 |ND  |-                   |C1 |-  |LIC    |LUVERNE                  |AL |US |BLH    -19970731KB  |13.5   kW |13.5   kW |558.0   |558.0   |6655       |N |31 |58 |28.00 |W |86  |9  |44.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |684.   m|684.0  m|-         |-       |-       |522.   m|250992    |
|WZYP        |104.3 MHz |FM |282 |ND  |-                   |C  |-  |LIC    |ATHENS                   |AL |US |BMLH   -20081022ACH |100.   kW |100.   kW |340.0   |340.0   |3083       |N |34 |49 |6.00  |W |86  |44 |16.00 |CUMULUS LICENSING LLC                                                       |   0.00 km |   0.00 mi |  0.00 deg |576.   m|576.0  m|-         |-       |1036633 |195.   m|1274147   |
|WWPG        |104.3 MHz |FM |282 |ND  |-                   |A  |-  |LIC    |EUTAW                    |AL |US |BLH    -20090527ABH |3.5    kW |3.5    kW |134.0   |134.0   |31145      |N |32 |55 |18.90 |W |87  |49 |8.00  |JIM LAWSON COMMUNICATIONS, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |191.   m|191.0  m|-         |-       |1061815 |106.   m|1314275   |
|WZZK-FM     |104.7 MHz |FM |284 |ND  |-                   |C0 |-  |LIC    |BIRMINGHAM               |AL |US |BLH    -20030130AHE |100.   kW |100.   kW |404.0   |404.0   |48724      |N |33 |29 |4.00  |W |86  |48 |25.00 |SM-WZZK, LLC                                                                |   0.00 km |   0.00 mi |  0.00 deg |597.   m|597.0  m|-         |-       |1226663 |308.   m|628192    |
|WSLY        |104.9 MHz |FM |285 |ND  |-                   |C2 |-  |LIC    |YORK                     |AL |US |BLH    -19940822KB  |50.    kW |50.    kW |150.0   |150.0   |24820      |N |32 |16 |54.00 |W |88  |15 |23.00 |SARAH P. GRANT                                                              |   0.00 km |   0.00 mi |  0.00 deg |211.   m|211.0  m|-         |-       |-       |132.   m|201828    |
|WOAB        |104.9 MHz |FM |285 |ND  |-                   |A  |-  |LIC    |OZARK                    |AL |US |BMLH   -19990525KA  |6.     kW |6.     kW |82.0    |82.0    |51095      |N |31 |27 |19.00 |W |85  |40 |58.00 |OZARK BROADCASTING CORPORATION                                              |   0.00 km |   0.00 mi |  0.00 deg |178.   m|178.0  m|-         |-       |1036228 |97.    m|285536    |
|WQSB        |105.1 MHz |FM |286 |DA  |-                   |C3 |-  |LIC    |ALBERTVILLE              |AL |US |BLH    -20010116ADJ |2.7    kW |2.7    kW |305.0   |305.0   |58945      |N |34 |9  |27.00 |W |86  |2  |44.00 |SAND MOUNTAIN BROADCASTING SERVICE, INC.                                    |   0.00 km |   0.00 mi |  0.00 deg |576.   m|576.0  m|31866     |0.      |1060510 |277.   m|546928    |
|WALJ        |105.1 MHz |FM |286 |ND  |-                   |A  |-  |LIC    |NORTHPORT                |AL |US |BLH    -20110923AEG |2.6    kW |2.6    kW |154.1   |154.1   |189495     |N |33 |12 |28.60 |W |87  |43 |10.00 |APEX BROADCASTING, INC.                                                     |   0.00 km |   0.00 mi |  0.00 deg |226.4  m|226.4  m|-         |-       |1033606 |98.4   m|1445183   |
|WRFS        |105.1 MHz |FM |286 |DA  |-                   |A  |-  |CP     |ROCKFORD                 |AL |US |BNPH   -20120524AIV |4.6    kW |4.6    kW |113.5   |113.5   |190442     |N |32 |54 |55.00 |W |86  |12 |49.00 |MARBLE CITY MEDIA, LLC                                                      |   0.00 km |   0.00 mi |  0.00 deg |312.8  m|312.8  m|109423    |0.      |1219196 |67.1   m|1500000   |
|WECB        |105.3 MHz |FM |287 |ND  |-                   |C3 |-  |LIC    |HEADLAND                 |AL |US |BLH    -19970925KG  |11.5   kW |11.5   kW |148.0   |148.0   |10666      |N |31 |15 |48.00 |W |85  |18 |24.00 |ALABAMA MEDIA, LLC                                                          |   0.00 km |   0.00 mi |  0.00 deg |229.   m|229.0  m|-         |-       |1020297 |149.   m|253908    |
|WBFZ        |105.3 MHz |FM |287 |DA  |-                   |C2 |-  |LIC    |SELMA                    |AL |US |BLH    -20010615AFL |50.    kW |49.    kW |150.0   |150.0   |81739      |N |32 |16 |18.00 |W |87  |15 |28.00 |IMANI COMMUNICATIONS CORPORATION, INC                                       |   0.00 km |   0.00 mi |  0.00 deg |194.   m|194.0  m|14975     |0.      |1047270 |133.   m|569708    |
|WNSP        |105.5 MHz |FM |288 |ND  |-                   |A  |-  |LIC    |BAY MINETTE              |AL |US |BLH    -19930719KB  |5.3    kW |5.3    kW |106.0   |106.0   |21227      |N |30 |49 |34.00 |W |87  |51 |52.00 |DOT COM PLUS, LLC                                                           |   0.00 km |   0.00 mi |  0.00 deg |133.   m|133.0  m|-         |-       |-       |72.    m|188280    |
|WVNA-FM     |105.5 MHz |FM |288 |ND  |-                   |A  |-  |LIC    |MUSCLE SHOALS            |AL |US |BLH    -20040304ACS |4.4    kW |4.4    kW |118.0   |118.0   |60610      |N |34 |40 |27.00 |W |87  |42 |48.00 |URBAN RADIO LICENSES, LLC                                                   |   0.00 km |   0.00 mi |  0.00 deg |297.   m|297.0  m|-         |-       |-       |39.    m|980904    |
|WERC-FM     |105.5 MHz |FM |288 |DA  |-                   |C2 |-  |LIC    |HOOVER                   |AL |US |BLH    -20050829ACX |29.5   kW |29.5   kW |190.0   |190.0   |62278      |N |33 |29 |4.00  |W |86  |48 |25.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |383.   m|383.0  m|66600     |0.      |1226663 |94.    m|1083281   |
|WCSN-FM     |105.7 MHz |FM |289 |ND  |-                   |A  |-  |LIC    |ORANGE BEACH             |AL |US |BLH    -19960819KA  |5.     kW |5.     kW |75.0    |75.0    |52820      |N |30 |17 |45.00 |W |87  |33 |42.00 |GULF COAST BROADCASTING CO., INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |78.    m|78.0   m|-         |-       |-       |73.    m|231188    |
|WQAH-FM     |105.7 MHz |FM |289 |ND  |-                   |A  |-  |LIC    |ADDISON                  |AL |US |BLH    -19980702KG  |6.     kW |6.     kW |100.0   |100.0   |48737      |N |34 |18 |19.00 |W |87  |4  |24.00 |ABERCROMBIE BROADCASTING FM, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |338.   m|338.0  m|28724     |-       |-       |33.    m|270606    |
|WZHT        |105.7 MHz |FM |289 |ND  |-                   |C  |-  |LIC    |TROY                     |AL |US |BLH    -20050210AHX |100.   kW |100.   kW |558.0   |558.0   |8649       |N |31 |58 |28.00 |W |86  |9  |44.00 |CAPSTAR TX LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |684.   m|684.0  m|-         |-       |1036432 |522.   m|1045836   |
